Date, Open, High, Low, Close
12/31/90, 2633.66, 2641.09, 2611.14, 2633.66
12/28/90, 2629.21, 2639.11, 2607.92, 2629.21
12/27/90, 2625.50, 2652.23, 2616.58, 2625.50
12/26/90, 2637.13, 2643.32, 2621.29, 2637.13
12/24/90, 2621.29, 2638.12, 2609.65, 2621.29
12/21/90, 2633.66, 2662.62, 2619.55, 2633.66
12/20/90, 2629.46, 2648.51, 2591.58, 2629.46
12/19/90, 2626.73, 2648.51, 2602.48, 2626.73
12/18/90, 2626.73, 2639.36, 2583.17, 2626.73
12/17/90, 2593.32, 2600.74, 2563.61, 2593.32
12/14/90, 2593.81, 2617.82, 2572.03, 2593.81
12/13/90, 2614.36, 2640.59, 2598.76, 2614.36
12/12/90, 2622.28, 2630.69, 2578.22, 2622.28
12/11/90, 2586.14, 2606.93, 2565.59, 2586.14
12/10/90, 2596.78, 2609.41, 2566.58, 2596.78
12/07/90, 2590.10, 2618.07, 2571.78, 2590.10
12/06/90, 2602.48, 2656.44, 2589.36, 2602.48
12/05/90, 2610.40, 2615.84, 2558.42, 2610.40
12/04/90, 2579.70, 2592.08, 2534.65, 2579.70
12/03/90, 2565.59, 2589.60, 2543.56, 2565.59
11/30/90, 2559.65, 2577.23, 2498.51, 2559.65
11/29/90, 2518.81, 2544.31, 2501.24, 2518.81
11/28/90, 2535.15, 2564.60, 2521.04, 2535.15
11/27/90, 2543.81, 2562.62, 2516.09, 2543.81
11/26/90, 2533.17, 2541.58, 2489.85, 2533.17
11/23/90, 2527.23, 2557.92, 2521.04, 2527.23
11/21/90, 2539.36, 2552.23, 2502.72, 2539.36
11/20/90, 2530.20, 2574.50, 2524.01, 2530.20
11/19/90, 2565.35, 2580.69, 2543.07, 2565.35
11/16/90, 2550.25, 2570.79, 2522.28, 2550.25
11/15/90, 2545.05, 2567.33, 2528.71, 2545.05
11/14/90, 2559.65, 2581.19, 2522.77, 2559.65
11/13/90, 2535.40, 2559.90, 2512.38, 2535.40
11/12/90, 2540.35, 2550.99, 2490.10, 2540.35
11/09/90, 2488.61, 2500.74, 2438.61, 2488.61
11/08/90, 2443.81, 2468.81, 2415.84, 2443.81
11/07/90, 2440.84, 2490.35, 2430.94, 2440.84
11/06/90, 2485.15, 2516.83, 2471.53, 2485.15
11/05/90, 2502.23, 2519.06, 2472.77, 2502.23
11/02/90, 2490.84, 2501.73, 2447.28, 2490.84
11/01/90, 2454.95, 2473.02, 2415.59, 2454.95
10/31/90, 2442.33, 2475.99, 2419.55, 2442.33
10/30/90, 2448.02, 2462.87, 2400.50, 2448.02
10/29/90, 2430.20, 2470.30, 2407.67, 2430.20
10/26/90, 2436.14, 2482.18, 2429.21, 2436.14
10/25/90, 2484.16, 2525.99, 2464.11, 2484.16
10/24/90, 2504.21, 2523.02, 2470.54, 2504.21
10/23/90, 2494.06, 2527.97, 2480.20, 2494.06
10/22/90, 2516.09, 2535.40, 2476.73, 2516.09
10/19/90, 2520.79, 2536.88, 2453.47, 2520.79
10/18/90, 2452.72, 2461.63, 2391.83, 2452.72
10/17/90, 2387.87, 2418.56, 2358.17, 2387.87
10/16/90, 2381.19, 2432.41, 2366.83, 2381.19
10/15/90, 2416.34, 2451.24, 2354.95, 2416.34
10/12/90, 2398.02, 2428.71, 2349.75, 2398.02
10/11/90, 2365.10, 2427.23, 2344.31, 2365.10
10/10/90, 2407.92, 2472.03, 2387.38, 2407.92
10/09/90, 2445.54, 2514.60, 2437.87, 2445.54
10/08/90, 2523.76, 2548.02, 2507.18, 2523.76
10/05/90, 2510.64, 2544.55, 2453.47, 2510.64
10/04/90, 2516.83, 2528.22, 2464.85, 2516.83
10/03/90, 2489.36, 2534.65, 2470.79, 2489.36
10/02/90, 2505.20, 2565.35, 2487.62, 2505.20
10/01/90, 2515.84, 2534.65, 2446.53, 2515.84
09/28/90, 2452.48, 2465.59, 2367.82, 2452.48
09/27/90, 2427.48, 2492.33, 2396.29, 2427.48
09/26/90, 2459.65, 2496.04, 2435.40, 2459.65
09/25/90, 2485.64, 2501.64, 2437.38, 2485.64
09/24/90, 2452.97, 2498.02, 2438.12, 2452.97
09/21/90, 2512.38, 2538.37, 2479.95, 2512.38
09/20/90, 2518.32, 2549.01, 2495.54, 2518.32
09/19/90, 2557.43, 2594.55, 2534.41, 2557.43
09/18/90, 2571.29, 2587.87, 2524.26, 2571.29
09/17/90, 2567.33, 2585.89, 2537.13, 2567.33
09/14/90, 2564.11, 2585.15, 2545.54, 2564.11
09/13/90, 2582.67, 2629.21, 2570.54, 2582.67
09/12/90, 2625.74, 2639.11, 2592.33, 2625.74
09/11/90, 2612.62, 2635.64, 2586.88, 2612.62
09/10/90, 2615.59, 2665.35, 2600.99, 2615.59
09/07/90, 2619.55, 2635.89, 2577.72, 2619.55
09/06/90, 2596.29, 2633.17, 2575.99, 2596.29
09/05/90, 2628.22, 2643.07, 2588.61, 2628.22
09/04/90, 2613.37, 2618.07, 2573.02, 2613.37
08/31/90, 2614.36, 2624.50, 2569.31, 2614.36
08/30/90, 2593.32, 2641.34, 2578.47, 2593.32
08/29/90, 2632.43, 2651.24, 2596.53, 2632.43
08/28/90, 2614.85, 2629.95, 2582.92, 2614.85
08/27/90, 2611.63, 2645.05, 2590.59, 2611.63
08/24/90, 2532.92, 2555.69, 2480.45, 2532.92
08/23/90, 2483.42, 2539.60, 2459.41, 2483.42
08/22/90, 2560.15, 2630.69, 2553.22, 2560.15
08/21/90, 2603.96, 2645.30, 2566.90, 2603.96
08/20/90, 2656.44, 2669.31, 2632.43, 2656.44
08/17/90, 2644.80, 2679.21, 2598.02, 2644.80
08/16/90, 2681.44, 2746.53, 2676.24, 2681.44
08/15/90, 2748.27, 2769.55, 2736.39, 2748.27
08/14/90, 2747.77, 2773.02, 2720.54, 2747.77
08/13/90, 2746.78, 2752.23, 2676.73, 2746.78
08/10/90, 2716.58, 2763.61, 2692.82, 2716.58
08/09/90, 2758.91, 2774.26, 2716.58, 2758.91
08/08/90, 2734.90, 2763.37, 2691.34, 2734.90
08/07/90, 2710.64, 2763.86, 2676.24, 2710.64
08/06/90, 2716.34, 2758.42, 2683.17, 2716.34
08/03/90, 2809.65, 2863.86, 2722.03, 2809.65
08/02/90, 2864.60, 2903.71, 2833.17, 2864.60
08/01/90, 2899.26, 2931.19, 2875.00, 2899.26
07/31/90, 2905.20, 2940.10, 2878.47, 2905.20
07/30/90, 2917.33, 2922.52, 2861.14, 2917.33
07/27/90, 2898.51, 2938.37, 2877.72, 2898.51
07/26/90, 2920.79, 2945.79, 2888.12, 2920.79
07/25/90, 2930.94, 2946.53, 2896.78, 2930.94
07/24/90, 2922.52, 2939.60, 2866.83, 2922.52
07/23/90, 2904.70, 2961.39, 2833.17, 2904.70
07/20/90, 2961.14, 3019.31, 2953.71, 2961.14
07/19/90, 2993.81, 2993.81, 2958.17, 2993.81
07/18/90, 2981.68, 3009.65, 2963.61, 2981.68
07/17/90, 2999.75, 3024.56, 2970.05, 2999.75
07/16/90, 2999.75, 3017.08, 2971.78, 2999.75
07/13/90, 2980.20, 3012.38, 2956.68, 2980.20
07/12/90, 2969.80, 2980.69, 2917.82, 2969.80
07/11/90, 2932.67, 2942.32, 2890.10, 2932.67
07/10/90, 2890.84, 2928.22, 2882.18, 2890.84
07/09/90, 2914.11, 2927.97, 2890.84, 2914.11
07/06/90, 2904.95, 2919.80, 2867.57, 2904.95
07/05/90, 2879.21, 2906.44, 2863.61, 2879.21
07/03/90, 2911.63, 2925.74, 2891.09, 2911.63
07/02/90, 2899.26, 2908.66, 2869.80, 2899.26
06/29/90, 2880.69, 2901.98, 2865.84, 2880.69
06/28/90, 2878.71, 2896.04, 2850.50, 2878.71
06/27/90, 2862.13, 2878.96, 2821.53, 2862.13
06/26/90, 2842.33, 2882.92, 2832.67, 2842.33
06/25/90, 2845.05, 2882.18, 2835.15, 2845.05
06/22/90, 2857.18, 2931.93, 2848.02, 2857.18
06/21/90, 2901.73, 2916.58, 2870.05, 2901.73
06/20/90, 2895.30, 2914.60, 2868.81, 2895.30
06/19/90, 2893.56, 2907.92, 2866.58, 2893.56
06/18/90, 2882.18, 2930.45, 2877.48, 2882.18
06/15/90, 2935.89, 2947.77, 2902.72, 2935.89
06/14/90, 2928.22, 2943.56, 2902.97, 2928.22
06/13/90, 2929.95, 2956.93, 2910.15, 2929.95
