Date, Open, High, Low, Close
04/02/19, 1632.03, 1632.03, 1611.26, 1611.69
04/01/19, 1612.13, 1624.43, 1611.71, 1615.81
03/29/19, 1595.58, 1597.66, 1588.12, 1591.64
03/28/19, 1595.09, 1595.62, 1577.15, 1582.85
03/27/19, 1606.78, 1610.17, 1598.10, 1609.49
03/26/19, 1592.59, 1618.40, 1591.79, 1617.94
03/25/19, 1593.30, 1593.40, 1571.74, 1577.41
03/22/19, 1617.38, 1618.14, 1610.09, 1617.11
03/20/19, 1609.30, 1614.60, 1607.99, 1614.39
03/19/19, 1612.36, 1612.36, 1601.73, 1610.23
03/18/19, 1610.74, 1613.69, 1604.47, 1613.68
03/15/19, 1595.02, 1607.10, 1594.39, 1602.63
03/14/19, 1603.32, 1606.37, 1588.29, 1588.29
03/13/19, 1600.73, 1604.58, 1585.79, 1592.07
03/12/19, 1596.40, 1612.08, 1595.92, 1605.48
03/11/19, 1574.31, 1582.72, 1570.58, 1581.44
03/08/19, 1588.15, 1590.56, 1570.39, 1572.44
03/07/19, 1604.85, 1605.92, 1597.42, 1601.66
03/06/19, 1617.00, 1617.39, 1612.28, 1615.25
03/05/19, 1618.35, 1621.79, 1612.78, 1619.23
03/04/19, 1629.43, 1629.88, 1622.38, 1627.59
03/01/19, 1612.47, 1618.71, 1611.00, 1615.72
02/28/19, 1618.20, 1618.20, 1606.98, 1607.66
02/27/19, 1619.40, 1623.37, 1619.38, 1620.42
02/26/19, 1622.33, 1624.42, 1612.23, 1617.20
02/25/19, 1619.61, 1623.13, 1616.94, 1620.87
02/22/19, 1605.99, 1610.63, 1603.02, 1609.52
02/21/19, 1612.88, 1619.57, 1605.05, 1613.50
02/20/19, 1609.72, 1617.10, 1605.96, 1613.47
02/19/19, 1599.65, 1607.16, 1599.16, 1606.52
02/18/19, 1599.33, 1603.22, 1596.08, 1601.96
02/15/19, 1580.00, 1580.79, 1569.22, 1577.29
02/14/19, 1589.43, 1596.28, 1586.90, 1589.81
02/13/19, 1582.64, 1591.72, 1578.09, 1589.33
02/12/19, 1547.56, 1575.52, 1545.28, 1572.60
02/08/19, 1552.70, 1553.39, 1536.65, 1539.40
02/07/19, 1577.35, 1578.52, 1563.30, 1569.03
02/06/19, 1587.49, 1591.59, 1580.88, 1582.13
02/05/19, 1588.24, 1589.71, 1580.41, 1582.88
02/04/19, 1570.36, 1583.04, 1570.36, 1581.33
02/01/19, 1565.63, 1576.02, 1562.88, 1564.63
01/31/19, 1570.63, 1574.76, 1561.12, 1567.49
01/30/19, 1559.22, 1559.95, 1549.62, 1550.76
01/29/19, 1548.46, 1559.19, 1541.66, 1557.09
01/28/19, 1563.61, 1564.93, 1554.66, 1555.51
01/25/19, 1553.49, 1570.88, 1553.43, 1566.10
01/24/19, 1540.72, 1552.77, 1538.04, 1552.60
01/23/19, 1545.56, 1556.45, 1543.44, 1547.03
01/22/19, 1570.29, 1572.28, 1552.91, 1556.43
01/21/19, 1572.94, 1574.86, 1563.79, 1566.37
01/18/19, 1547.09, 1562.64, 1546.83, 1557.59
01/17/19, 1546.48, 1549.42, 1537.83, 1543.20
01/16/19, 1543.17, 1543.44, 1529.85, 1537.77
01/15/19, 1521.83, 1544.78, 1518.75, 1542.72
01/11/19, 1531.72, 1535.03, 1525.84, 1529.73
01/10/19, 1523.01, 1527.82, 1514.72, 1522.01
01/09/19, 1533.20, 1539.47, 1531.44, 1535.11
01/08/19, 1520.93, 1529.80, 1515.23, 1518.43
01/07/19, 1499.42, 1521.48, 1497.97, 1512.53
01/04/19, 1468.42, 1473.11, 1446.48, 1471.16
